Segment,Overall,,,,
Client 1179,,,92.36,3769.2,5977.44
Client 118,,,6529.97,3007.64,8383.17
Client 1180,,,,587.85,
Client 1181,,,,,21231.33
Client 1182,,,,1917.04,
Client 1183,,,3248.08,,3165.69
Client 1184,,,8788.33,7724.6,
Client 1185,,,25144.55,79050.39,820.82
Client 1186,,,,1129.13,
Client 1187,,3947.13,,,
Client 1188,,,,,93.89
Client 1189,,,,532.57,1497.37
Client 119,,,,1723.73,77.41
Client 1190,,,,3879.32,198.3
Client 1191,,,1272.79,1375.22,
Client 1192,,,,2795.1,
Client 1193,,,6204.92,23135.99,5462.24
Client 1194,,,163.22,,
Client 1195,,,,,13703.14
Client 1196,,,,,605.63
Client 1197,,,,,8632.26
Client 1198,,,,,3081.84
Client 1199,,,3156.3,10095.72,15129.7
Client 12,,,,,8139.72
Client 120,,,,,59.27
Client 1200,,,,,5895.1
Client 1201,,,,,1044.57
Client 1202,,,,,242.14
Client 1203,,,,10309.72,
Client 1204,,,4443.76,,280.15
Client 1205,,,,,583.12
Client 1206,,,,,20000.33
Client 1207,,,495.5,,
Client 1208,,,,,44142.26
Client 1209,,,,,5418.56
Client 121,,,,,571.3
Client 1210,,,,1169.71,817.55
Client 1211,,,2368.47,,
Client 1212,,,,,4694.27
Client 1213,,,12593.24,41459.45,5157.11
Client 1214,,,,,414.83
Client 1215,,,3687.7,,
Client 1216,,,,,4719.83
Client 1217,,,,,35326.71
Client 1218,,,,308.98,
Client 1219,,,,,2810.45
Client 122,,,,1361.02,
Client 1220,,,358.28,,
Client 1221,,,,,24411.81
Client 1222,,,,,121266.9
Client 1223,,1589.44,5105.78,,
Client 1224,,,,,7566.93
Client 1225,,,3128.51,,
Client 1226,,,,,8193.36
Client 1227,,,,,64.88
Client 1228,,,,,9197.67
Client 1229,,,,9005.29,
Client 123,,,,,184.64
Client 1230,,,,,29308.05
Client 1231,,,,,3090.19
Client 1232,,,,,1554.01
Client 1233,,,,6238.66,40401.04
Client 1234,,,,,387.7
Client 1235,,,,1653.08,
Client 1236,,,10778.18,,97.45
Client 1237,,,,,3736.35
Client 1238,,,,915.83,
Client 1239,,,235.66,,
Client 124,,,,2941.92,
Client 1240,,673.05,,,
Client 1241,,,,,104729.79
Client 1242,,,,240.99,
Client 1243,,,,,656.61
Client 1244,,,,,2183.91
Client 1245,,,,2012.35,
Client 1246,,,,,1415.73
Client 1247,,,,1357.64,8522.77
Client 1248,,,,,5912.14
Client 1249,,3557.85,309.54,,
Client 125,,,,,3813.41
Client 1250,,,,312.86,
Client 1251,,,,,23395.63
Client 1252,,,,,7640.5
Client 1253,,,,,5060.85
Client 1254,,,,,1536.92
Client 1255,,,,,154.68
Client 1256,,2818.31,3204.13,,
Client 1257,,,11407.48,17610.81,105.9
Client 1258,,,,,3146.83
Client 1259,,,2861.55,325.4,3077.48
Client 126,,8677.55,171638.02,41480,
Client 1260,,,19251.58,,
Client 1261,,,,621.88,
Client 1262,,,,,166.88
Client 1263,,,,2119.03,1875.36
Client 1264,1929.44,1230.41,,,3017.87
Client 1265,,,,22659.99,32957.96
Client 1266,,,11527.95,33652.65,13535.89
Client 1267,,,,,50234.37
Client 1268,,,,,22638.14
Client 1269,,,,,3274.36
Client 127,,,,58.7,
Client 1270,,,2265.64,,249.77
Client 1271,,,,4947.51,113.34
Client 1272,,,,,3317.93
Client 1273,,2501.79,,28031.94,7226.52
Client 1274,,,111.31,,
Client 1275,,2795.95,,,
Client 1276,,,,14732.03,
Client 1277,,,1921.8,,492.44
Client 1278,,,,,3170.04
Client 1279,,,,9435.14,82657.32
Client 128,,14958.22,4982.74,7652.93,4207.49
Client 1280,,,,,9259.78
Client 1281,,2307.38,,,
Client 1282,,,,241.13,
Client 1283,,,549.28,,
Client 1284,,,243.38,,
Client 1285,,,,,44080.52
Client 1286,,,,,1135.16
Client 1287,,,,7366.95,20497.74
Client 1288,,,,3647.11,
Client 1289,,,6085.95,5945.66,
Client 129,,2741.84,12861.39,4228.73,10696.48
Client 1290,,,,,46670.94
Client 1291,,,,,336583.34
Client 1292,,,,6134.61,11058.29
Client 1293,,,1693.84,,
Client 1294,,,268.25,5377.59,149.01
Client 1295,,,,,15322.63
Client 1296,,,,,872.5
Client 1297,,,,,468.71
Client 1298,,,19844.08,,5242.26
Client 1299,,,,2317.92,
Client 13,,,7012.12,,
Client 130,,9027.32,23984.65,2885.14,
Client 1300,,,,142.85,
Client 1301,,,,4625.1,
Client 1302,,,,,2605.74
Client 1303,,,,7472.91,
Client 1304,,,,13958.8,2073.65
Client 1305,,,304.07,,
Client 1306,,,,53360.51,16410.58
Client 1307,,,,235.03,20.65
Client 1308,,4676.15,17560.41,7719.69,3380.53
Client 1309,,,,,2022.87
Client 131,,,,3443.59,6892.05
Client 1310,82.03,,,,
Client 1311,,,,,2416.1
Client 1312,,5103.56,33720.93,64065.8,3268.93
Client 1313,,,,4985.35,
Client 1314,,,686.02,1443.87,62175.05
Client 1315,,,,18592.43,90734.29
Client 1316,,,,,855.85
Client 1317,,,,,33433.58
Client 1318,,,6474.19,8366.88,11444.2
Client 1319,,,7291.79,3345.27,5465.77
Client 132,,,,24536.89,16172.41
Client 1320,,,,,2534.86
Client 1321,,,,,188819.48
Client 1322,,,,,95960.75
Client 1323,,,,,788.05
Client 1324,,1288.35,,,
Client 1325,,,,144.56,
Client 1326,,,,11889.58,
Client 1327,,,3352.32,,
Client 1328,,,,1093.86,
Client 1329,,172.94,,,
Client 133,,,285.88,1310.92,
Client 1330,,,14186.12,33627.23,10876.93
Client 1331,,,,20057.02,
Client 1332,,,,,984.67
Client 1333,,,1565.69,,
Client 1334,,,,,5131.19
Client 1335,,,,,2673.39
Client 1336,,,,1847.48,
Client 1337,,,,,45141.13
Client 1338,,,3591.13,1473.39,
Client 1339,,,,,4055.09
Client 134,,,,20510.98,3629.77
Client 1340,,,,,24137.79
Client 1341,,,,,5254.07
Client 1342,716.59,9601.9,15331.44,15408.67,11644.78
Client 1343,,558.63,,,
Client 1344,,,2098.63,,
Client 1345,,,8516.03,,2289.64
Client 1346,,,,,1342.18
Client 1347,,,,,5776.66
Client 1348,,,48619.4,,
Client 1349,,,,,1778.11
Client 135,,3833.86,,,
Client 1350,,,,,6053.35
Client 1351,,,,2253.46,
Client 1352,,,330.98,301.65,
Client 1353,,,1389.46,,
Client 1354,,,,2431.4,476.55
Client 1355,,,,,27839.79
Client 1356,,,,,8318.51
Client 1357,,,,,1838.75
Client 1358,,,,2030.78,
Client 1359,,,,,10092.11
Client 136,,,,1922.13,
Client 1360,,,766.24,10079.17,80.41
Client 1361,,,,,1380.4
Client 1362,,7037.02,,,4068.95
Client 1363,,,,,21026.2
Client 1364,,,1321.7,,
Client 1365,,3298.46,224.78,7004.52,21221.55
Client 1366,,,,,1921.9
Client 1367,,,,169171.48,76008.7
Client 1368,,,,,2227.15
Client 1369,,,,1837.84,1722.25
Client 137,,2487.77,,,
Client 1370,,,,94.83,
Client 1371,,,,,11094.48
Client 1372,,,,11973.18,
Client 1373,,,,,198.53
Client 1374,,,,,6590.37
Client 1375,,,,83.61,
Client 1376,,,,,7874
Client 1377,,,7331.37,5434.53,
Client 1378,,,6505.7,,
Client 1379,,,922.53,,
Client 138,,,,339.19,
Client 1380,,,,,2571.9
Client 1381,,,,,906.52
Client 1382,,,,1304.72,
Client 1383,,,,,10191.66
Client 1384,,,,176.91,
Client 1385,,,,,2947.65
Client 1386,,,,,1127.94
Client 1387,,,162.01,8323.21,
Client 1388,,,,697.24,
Client 1389,,,180.32,,
Client 139,,,,,212.45
Client 1390,,3046.98,,,2669.52
Client 1391,,,,,584.12
Client 1392,,,10111.79,9453.62,9315.51
Client 1393,,,,,66.22
Client 1394,,,,,18135.24
Client 1395,,,,,10570
Client 1396,,,,4550.58,1676.16
Client 1397,,,,,3547.38
Client 1398,,,,,743.85
Client 1399,,211.53,172.25,526.07,
Client 14,,,3927.47,,
Client 140,,,,412.97,200.9
Client 1400,,,,,1498.14
Client 1401,,,,,3535.23
Client 1402,,,2362.58,898.12,
Client 1403,,,4452.09,,
Client 1404,,,,,1870.61
Client 1405,,,5362.29,,
Client 1406,,,,,528.77
Client 1407,,,,,2724.97
Client 1408,,,2176.79,72.11,
Client 1409,,,,,3509.86
Client 141,,,,27432.02,4464.84
Client 1410,,,,2459.01,
Client 1411,,,,,11547.35
Client 1412,,,4639.69,,
Client 1413,,,6126.9,7044.27,10771.06
Client 1414,,,,1766.08,
Client 1415,,,,214.77,64.68
Client 1416,,,842.65,3197.1,3735.23
Client 1417,,,,,39237.54
Client 1418,,,,,76.47
Client 1419,,,2044.73,233.48,4306.69
Client 142,1895.76,,,,
Client 1420,,,1434.08,,576.16
Client 1421,,,,10406.14,
Client 1422,,,,,4294.4
Client 1423,,,,16524.54,
Client 1424,,,,,1640.57
Client 1425,,1093.25,18392.07,1479.76,
Client 1426,,,,,5135.35
Client 1427,,,,,4364.53
Client 1428,,,,4119.68,
Client 1429,,,,3231.56,
Client 143,,2026.77,,,
Client 1430,,,445.18,,
Client 1431,,,,,2155.82
Client 1432,,,4878.15,,
Client 1433,,558.49,,,27.43
Client 1434,34288.81,20565.67,38892.7,,
Client 1435,,,3863.72,,
Client 1436,,2711.6,,50.4,1391.27
Client 1437,,,,4719.48,3306.02
Client 1438,,632.63,,,
Client 1439,,,,35252.62,47302.57
Client 144,,,,,2902.73
Client 1440,,,,2249.58,56885.58
