Segment,Small,,,,
Client 1296,,,,,872.5
Client 1299,,,,2317.92,
Client 130,,9027.32,23984.65,2885.14,
Client 1300,,,,142.85,
Client 1303,,,,7472.91,
Client 1306,,,,53360.51,16410.58
Client 1308,,4676.15,17560.41,7719.69,3380.53
Client 1310,82.03,,,,
Client 1311,,,,,2416.1
Client 1312,,5103.56,33720.93,64065.8,3268.93
Client 1315,,,,18592.43,90734.29
Client 1317,,,,,33433.58
Client 1318,,,6474.19,8366.88,11444.2
Client 1323,,,,,788.05
Client 1324,,1288.35,,,
Client 1325,,,,144.56,
Client 1327,,,3352.32,,
Client 1328,,,,1093.86,
Client 1329,,172.94,,,
Client 133,,,285.88,1310.92,
Client 1330,,,14186.12,33627.23,10876.93
Client 1332,,,,,984.67
Client 1333,,,1565.69,,
Client 1334,,,,,5131.19
Client 1335,,,,,2673.39
Client 1336,,,,1847.48,
Client 134,,,,20510.98,3629.77
Client 1340,,,,,24137.79
Client 1344,,,2098.63,,
Client 1345,,,8516.03,,2289.64
Client 1346,,,,,1342.18
Client 1347,,,,,5776.66
Client 1348,,,48619.4,,
Client 135,,3833.86,,,
Client 1350,,,,,6053.35
Client 1352,,,330.98,301.65,
Client 1354,,,,2431.4,476.55
Client 1356,,,,,8318.51
Client 1360,,,766.24,10079.17,80.41
Client 1361,,,,,1380.4
Client 1363,,,,,21026.2
Client 1364,,,1321.7,,
Client 1367,,,,169171.48,76008.7
Client 1368,,,,,2227.15
Client 1369,,,,1837.84,1722.25
Client 137,,2487.77,,,
Client 1370,,,,94.83,
Client 1372,,,,11973.18,
Client 1373,,,,,198.53
Client 1374,,,,,6590.37
Client 1375,,,,83.61,
Client 1382,,,,1304.72,
Client 1383,,,,,10191.66
Client 1384,,,,176.91,
Client 1385,,,,,2947.65
Client 1388,,,,697.24,
Client 1389,,,180.32,,
Client 139,,,,,212.45
Client 1391,,,,,584.12
Client 1394,,,,,18135.24
Client 1395,,,,,10570
Client 1396,,,,4550.58,1676.16
Client 1397,,,,,3547.38
Client 1398,,,,,743.85
Client 1399,,211.53,172.25,526.07,
Client 14,,,3927.47,,
Client 140,,,,412.97,200.9
Client 1400,,,,,1498.14
Client 1401,,,,,3535.23
Client 1402,,,2362.58,898.12,
Client 1404,,,,,1870.61
Client 1406,,,,,528.77
Client 1407,,,,,2724.97
Client 1408,,,2176.79,72.11,
Client 1409,,,,,3509.86
Client 141,,,,27432.02,4464.84
Client 1413,,,6126.9,7044.27,10771.06
Client 1414,,,,1766.08,
Client 1415,,,,214.77,64.68
Client 1416,,,842.65,3197.1,3735.23
Client 1417,,,,,39237.54
Client 1420,,,1434.08,,576.16
Client 1421,,,,10406.14,
Client 1422,,,,,4294.4
Client 1423,,,,16524.54,
Client 1424,,,,,1640.57
Client 1425,,1093.25,18392.07,1479.76,
Client 1427,,,,,4364.53
Client 1428,,,,4119.68,
Client 1430,,,445.18,,
Client 1431,,,,,2155.82
Client 1436,,2711.6,,50.4,1391.27
Client 1437,,,,4719.48,3306.02
Client 1438,,632.63,,,
Client 1443,,,1700.85,,
Client 1444,,,,4358.74,
Client 1445,,,,,138.56
Client 1446,,,,,3532.75
Client 1447,,,,1005.44,
Client 1448,,,,,237.04
Client 1450,,,,,246.98
Client 1451,,,,24542.07,311.24
Client 1454,,,,,17935.78
Client 1456,,,,,4838.9
Client 1457,,,,40.97,1859.59
Client 1458,,,,,10065.09
Client 1459,,,,,1334.09
Client 146,,,1084.37,,
Client 1460,,,662.54,,5784.95
Client 1461,,,,,780.94
Client 1462,,,2010.37,566.01,
Client 1463,,,230.15,,431.7
Client 1464,,,,3252.61,
Client 1465,,,,,278253.84
Client 1466,,,,,1210.67
Client 1468,,,,,44159.68
Client 1470,,,191.81,,
Client 1475,,,,2687.7,1426.65
Client 1476,,,283.54,,
Client 1478,,,,,2622.78
Client 1479,,2369.6,,,
Client 1480,,,,89869.74,
Client 1481,,,,,4701.85
Client 1482,,,,,47673.49
Client 1485,,222.66,,,
Client 1486,,,7579.25,10818.25,
Client 1488,,,169.03,,
Client 1489,,,28889.42,879.38,
Client 149,,,12498.29,11397.27,
Client 1490,,,,,715.99
Client 1491,,588.91,6341.56,2494.77,
Client 1492,,,,167.66,
Client 1493,,454.13,22719.19,17942.01,27077.91
Client 1494,,,,,4896.77
Client 1495,,,,873.15,
Client 1496,,,,,2036.39
Client 1497,,,,,13671.4
Client 15,,,,725.52,
Client 150,,,6044.21,,779.18
Client 1502,,2291.24,3834.93,,
Client 1503,,286.99,,,
Client 1505,,,10709.33,30716.66,6429.14
Client 1507,813.25,,,6640.27,3607.85
Client 1508,,,,,679.08
Client 1509,278.38,,,,
Client 151,,,6252.44,1114.82,19978.41
Client 1511,,,,,2619.25
Client 1513,,,,,125.8
Client 1514,,,,3686.3,
Client 1515,,,2780.08,14346.86,898.51
Client 1517,,,18213.72,75656.71,
Client 1518,1455.31,3537.44,335.89,,1841.45
Client 1519,,,,,312.62
Client 152,,,,4835.71,11226.37
Client 1521,,,,,1705.22
Client 1523,,,,49008.98,125430.4
Client 1524,,,152.04,,
Client 1526,,,,,1578.32
Client 1527,,1386.99,449.72,,
Client 1528,,,,3979.93,9451.91
Client 1529,,,,17403.07,389.5
Client 153,,,,,167.35
Client 1530,,,,7029.12,19100.94
Client 1531,,,,692.34,
Client 1534,,,,,351.29
Client 1537,,,,2113.4,
Client 1538,,,4560.04,,1699
Client 1539,,,191.31,,
Client 154,,,,,1588.59
Client 1540,,,6468.75,,
Client 1542,,,,,4217.32
Client 1543,,,71.51,,
Client 1544,,10280.44,,7071.88,
Client 1545,,,,,15350.02
Client 1546,,,,520.86,
Client 1547,,,,116.79,
Client 1548,,1128.71,898.9,2366.68,
Client 1549,,,84.07,,
Client 1550,,5769.98,8798.32,4995.48,8123.15
Client 1551,,,,,8756.04
Client 1552,,,,3742.58,
Client 1553,,20609.08,,,
Client 1554,,,,,6956.97
Client 1555,,967.95,605.51,,
Client 1556,,,3274.7,21098.71,
Client 1557,49731.513,53876.738,46097.41,1325.62,831.84
Client 1558,,,,,1819.79
Client 1559,,,,,203.56
Client 156,,,,240.8,
Client 1560,,,14103.05,7890.07,13812.16
Client 1563,,,,,190.3
Client 1564,,,,2673.61,
Client 1565,,,,654.02,
Client 1567,,,,1883.99,
Client 1568,,,1597.34,6694.58,
Client 1569,,,,14898.76,12905.22
Client 157,,,,,35.84
Client 1570,,,,,1336.73
Client 1571,,143.16,599.26,8825.2,11481.61
Client 1572,,,,,15192.72
Client 1574,4595.35,,,,
Client 1575,,,,,42.11
Client 1576,,,,,276.17
Client 1577,,,,,296.15
Client 1578,,,11661.17,,5021.32
Client 158,,,,170.6,
Client 1580,,12848.61,,,
Client 1581,,,,155.12,2134.58
Client 1583,,,,,1914.07
Client 1584,,,,,3123.09
Client 1588,,,,2658.14,1014.4
Client 1589,,,,3544.27,14983.38
Client 1592,,,,,232466.41
Client 1596,,,,,5987.56
Client 1597,,,,1669.9,
Client 1598,,,,2499.21,
Client 160,,,240.58,,
