Segment,Enterprise,,,,
Client 2035,,,,,217.36
Client 2038,,,,,3868.09
Client 204,,,,20178.78,4377.47
Client 2043,,,,,35086.23
Client 2049,,,,9947.59,
Client 2052,,1361.41,228.3,,4921.17
Client 2054,,,,,14085.5
Client 206,,,,1967.65,
Client 207,,,,,9999
Client 2074,,,,,1283.09
Client 2082,,,626.07,,
Client 2083,,,,,4515.71
Client 2084,,,1346.78,,
Client 2091,,,,219.28,
Client 21,,,,,11999.99
Client 2102,98,,,,
Client 2103,2058,,,3034.29,5114.86
Client 2109,,,,,8963.19
Client 2113,,,,,26848.51
Client 2128,,,1137.17,3515.01,22163.73
Client 2134,,,,,74443.06
Client 2135,,,,,109.37
Client 2140,,,5503.45,,
Client 215,,,,3337.57,
Client 22,,,,,25101.78
Client 23,,,,,6259.23
Client 240,,,,,1043.57
Client 25,,,,,10876.11
Client 256,,,13077.76,,
Client 257,,,,3662.22,5457.83
Client 258,,,16582.05,13273.85,30547.03
Client 260,,,,,23184.14
Client 261,,,,,18663.94
Client 262,,,71641.95,106775.06,
Client 264,5641.39215,,,,
Client 269,,,,15960.08,3126.87
Client 272,,1578.53,,3878.42,
Client 287,,,,9568.33,3791.18
Client 289,,291.72,,,
Client 299,,,,7742.81,
Client 310,,6973.84,10926.71,153.96,1759.39
Client 314,,,1432.51,43063.16,32055.23
Client 329,,,,69726.06,2757.99
Client 33,,,,318.04,
Client 330,,,,,466.3
Client 331,,,,,98.2
Client 336,,,11867.81,,
Client 345,,,,,15791.48
Client 365,,,601.61,185.57,
Client 375,,,11942.57,673.61,748.64
Client 376,,,2910.59,,
Client 388,,,115.57,6114.35,448.28
Client 396,,,,2645.14,
Client 399,,,,,5934.63
Client 401,,,,,27017.42
Client 403,,,1860.62,21358.87,155643.63
Client 424,,,57173.34,21917.68,
Client 425,,,919.51,,
Client 427,,,14008.39,,
Client 440,,,,9614.96,
Client 443,,,5479.22,12335.26,49635.01
Client 445,,,,,808.38
Client 446,,,1783.57,,
Client 469,,,,1239.81,326701.39
Client 485,,,,,11045.65
Client 503,,,,,3712.66
Client 508,,,,6594.71,3323.43
Client 509,,,1149.47,,1483.34
Client 510,,,1717.4,,
Client 513,,,129.7,3211.66,
Client 518,,,,,4827.9
Client 529,,,,51095.81,
Client 530,,,,,2769.2
Client 531,,,,,2265.36
Client 532,,,,6436.19,
Client 543,,,,,4158.57
Client 544,,,,,163630.32
Client 56,,,,,3213.04
Client 564,,,,1244.27,
Client 565,,,,4636.6,
Client 566,,4285.27,,,
Client 574,,,31488.43,25297.27,9950.88
Client 575,,,,,99065.66
Client 576,,,,,5677.46
Client 580,,,,,144.56
Client 600,,177.42,,,31045.72
Client 604,,,,,3437.88
Client 607,,227.98,7411.83,,19230.28
Client 613,,,,,64226.56
Client 627,,,1191,,
Client 630,,,,18169.31,
Client 642,,,325.93,,
Client 652,,627.19,6216.57,105100.75,101020.98
Client 667,,,,,3227.03
Client 67,,159.35,,1415.13,140.03
Client 68,,,,,28282.25
Client 682,,2636.3,,35891.7,
Client 713,,,,4097.26,8510.28
Client 724,,,,6552.77,130.91
Client 728,,5377.28,283.32,,
Client 729,,,,14808.48,3661.04
Client 732,3566.38,,,,
Client 733,,,11809.39,41349.61,3254.77
Client 734,,,,733.58,
Client 735,17039.282,,,,
Client 736,,,,3465.34,8443.08
Client 742,,,,15409.4,560.44
Client 746,,,,,2696.1
Client 747,,,,626.52,
Client 754,,14612.2,19516.29,179213.85,91140.71
Client 785,,,,,80360.28
Client 796,,,3363.94,,
Client 807,,,17911.12,,1661.25
Client 809,,1834.56,34558.6,513.8,7671.76
Client 810,,,,,1211.15
Client 814,,,,15687.32,31703.81
Client 815,1366.34,7954.99,20986.14,210.64,5569.7
Client 816,,,,,1342.84
Client 82,,,,,875.78
Client 820,,,,,4644.62
Client 823,,908.97,352.37,1041.61,1366.05
Client 831,,,,12643.5,6093.46
Client 836,,627.92,,1076.99,
Client 840,,,6361.49,30948.74,5645.06
Client 841,,,,,1841.4
Client 845,,,,,2294.96
Client 849,,,708.42,11312.43,12931.85
Client 850,,,2023.76,1302.67,3880.57
Client 853,,,,,64350.66
Client 860,,,183.86,,
Client 89,,,,,4418.54
Client 898,,,,1220.04,2643.21
Client 901,,,6605.87,3572.83,
Client 909,,,,,85695.59
Client 925,,,,1435.41,
Client 934,,,,,9106.82
Client 948,,,,19898.45,2458
Client 95,,,378.73,690.07,979.35
Client 950,,,,7565.02,19148.89
Client 951,,,,,20839.04
Client 973,,,5957.16,3116.43,
Client 982,,,376.71,26.04,
Client 986,,,,,324.47
Client 99,,,34137.5,41314.9,175427.13
Client 993,,,,917.17,
